	time	SH(W/m2)	SC(W/m2)
0	0	0.0	0.0
1	3600	0.0	0.0
2	7200	0.0	0.0
3	10800	0.0	0.0
4	14400	0.0	0.0
5	18000	0.0	0.0
6	21600	0.0	0.0
7	25200	0.0	5.142137498250864
8	28800	0.0	1.0548636750158769
9	32400	0.0	0.0
10	36000	0.0	0.0
11	39600	0.0	0.0
12	43200	0.0	0.0
13	46800	0.0	0.0
14	50400	0.0	0.0
15	54000	0.0	0.0
16	57600	0.0	0.4133343379654048
17	61200	0.0	9.958343648751924
18	64800	0.0	22.560735390676296
19	68400	0.0	22.986125313499027
20	72000	0.0	26.291077790814075
21	75600	0.0	15.996038879261164
22	79200	0.0	11.81102870736144
23	82800	0.0	12.041376489456745
24	86400	0.0	0.0
25	90000	0.0	0.0
26	93600	0.0	0.0
27	97200	0.0	2.639742527151976
28	100800	0.0	2.247936019288936
29	104400	0.0	0.0
30	108000	0.0	6.792030397296105
31	111600	0.0	26.773731741709092
32	115200	0.0	22.376026608398007
33	118800	0.0	16.008955577322585
34	122400	0.0	0.0
35	126000	0.0	9.828746111535688
36	129600	0.0	13.953047802546742
37	133200	0.0	4.573802783548432
38	136800	0.0	0.0
39	140400	0.0	0.0
40	144000	0.0	0.0
41	147600	0.0	8.854396521102656
42	151200	0.0	20.816981152384745
43	154800	0.0	23.680613112601318
44	158400	0.0	27.16812158918442
45	162000	0.0	15.147411816625944
46	165600	0.0	11.308999709374294
47	169200	0.0	11.8415982261068
48	172800	0.0	0.0
49	176400	0.0	0.0
50	180000	0.0	0.0
51	183600	0.0	4.254329784829339
52	187200	0.0	2.898937601584448
53	190800	0.0	0.0
54	194400	0.0	7.763796648116854
55	198000	0.0	28.382721763559843
56	201600	0.0	28.8511673465873
57	205200	0.0	27.605136540262425
58	208800	0.0	8.676146087855075
59	212400	0.0	26.815495732107685
60	216000	0.0	44.80328945243964
61	219600	0.0	35.75901746983413
62	223200	0.0	18.28573888894869
63	226800	0.0	4.192760190736575
64	230400	0.0	12.412516280421515
65	234000	0.0	24.636879325748364
66	237600	0.0	42.05160220875537
67	241200	0.0	42.56956180101827
68	244800	0.0	40.79179359116498
69	248400	0.0	23.16997298257322
70	252000	0.0	15.861705219422408
71	255600	0.0	13.72571391666577
72	259200	0.0	0.0
73	262800	0.0	0.0
74	266400	0.0	0.0
75	270000	0.0	5.347512997427424
76	273600	0.0	5.270873922263005
77	277200	0.0	0.445626083118952
78	280800	0.0	7.7457132708308665
79	284400	0.0	26.330688998202426
80	288000	0.0	25.241380795022767
81	291600	0.0	18.936309914642155
82	295200	0.0	0.1278753108080471
83	298800	0.0	11.84805657513751
84	302400	0.0	21.381010301066702
85	306000	0.0	12.882253533255115
86	309600	0.0	0.0
87	313200	0.0	0.0
88	316800	0.0	2.322422311443118
89	320400	0.0	14.263048556020795
90	324000	0.0	32.662454387909975
91	327600	0.0	38.55117703411084
92	331200	0.0	41.659795700892325
93	334800	0.0	27.178454947633554
94	338400	0.0	19.412505516506464
95	342000	0.0	17.86207119253415
96	345600	0.0	0.0
97	349200	0.0	0.0
98	352800	0.0	0.0
99	356400	0.0	9.621648385950937
100	360000	0.0	14.715132988170456
101	363600	0.0	5.248915535558593
102	367200	0.0	18.05323832384315
103	370800	0.0	55.80314952154398
104	374400	0.0	50.63302584416004
105	378000	0.0	35.6522394325264
106	381600	0.0	9.191952897107736
107	385200	0.0	17.899529616912265
108	388800	0.0	22.076789769975136
109	392400	0.0	19.092171404583276
110	396000	0.0	11.798112009300022
111	399600	0.0	7.694907591789286
112	403200	0.0	10.642498089405079
113	406800	0.0	13.641755379266547
114	410400	0.0	48.5443957676286
115	414000	0.0	66.46502265804118
116	417600	0.0	55.27184267461761
117	421200	0.0	49.32800878335468
118	424800	0.0	48.45440943780072
119	428400	0.0	34.52805614458091
120	432000	0.0	0.0
121	435600	0.0	0.0
122	439200	0.0	0.0
123	442800	0.0	11.702528443645523
124	446400	0.0	10.072010591692411
125	450000	0.0	5.243318299731978
126	453600	0.0	19.504644629344586
127	457200	0.0	60.686091945362364
128	460800	0.0	56.66038771622014
129	464400	0.0	21.780566827766595
130	468000	0.0	17.61837615577538
131	471600	0.0	24.21019773311949
132	475200	0.0	41.16939173116046
133	478800	0.0	39.20992863524321
134	482400	0.0	20.793300539272142
135	486000	0.0	12.404766261584664
136	489600	0.0	22.827249927343576
137	493200	0.0	31.75397995759018
138	496800	0.0	39.94790265115228
139	500400	0.0	48.466034466055994
140	504000	0.0	55.78808004047232
141	507600	0.0	34.58015349342863
142	511200	0.0	19.90204837303424
143	514800	0.0	22.91723625717146
144	518400	0.0	0.0
145	522000	0.0	0.0
146	525600	0.0	0.0
147	529200	0.0	13.313671248506507
148	532800	0.0	22.585277116992994
149	536400	0.0	6.974586396564159
150	540000	0.0	18.339127907602553
151	543600	0.0	49.019299699686776
152	547200	0.0	47.17178132030182
153	550800	0.0	45.39272144064239
154	554400	0.0	19.649742204234524
155	558000	0.0	49.058910907075116
156	561600	0.0	72.06311959786014
157	565200	0.0	65.45063130361775
158	568800	0.0	37.34389632197023
159	572400	0.0	17.594695542662777
160	576000	0.0	31.87453580616342
161	579600	0.0	52.055584857324305
162	583200	0.0	84.14152395509295
163	586800	0.0	84.02398200273404
164	590400	0.0	86.95305856646179
165	594000	0.0	57.44313961874213
166	597600	0.0	39.615512954371766
167	601200	0.0	32.27280066305717
168	604800	0.0	0.0
169	608400	0.0	0.0
170	612000	0.0	0.0
171	615600	0.0	14.313854235062378
172	619200	0.0	13.793741859789241
