	time	cooling	heating
0	900	0.0	4.447307223334615
1	1800	0.0	7.241960916006725
2	2700	0.0	9.376586478971392
3	3600	0.0	13.262086601459666
4	4500	0.0	8.172530257771284
5	5400	0.0	13.918874733137866
6	6300	0.0	19.735954177775888
7	7200	0.0	22.332449082139306
8	8100	0.0	23.68467871907493
9	9000	0.0	24.709817478591848
10	9900	0.0	25.658216416004823
11	10800	0.0	26.474545814189224
12	11700	0.0	5.995194296259681
13	12600	0.0	4.789707361470765
14	13500	0.0	4.705950530002382
15	14400	0.0	5.90161712216538
16	15300	0.0	5.264247576444104
17	16200	0.0	5.288795652912081
18	17100	0.0	5.384134329283667
19	18000	0.0	5.525408752830289
20	18900	0.0	5.559290190583253
21	19800	0.0	5.588223906311962
22	20700	0.0	5.568254200895662
23	21600	0.0	5.208349195449256
24	22500	0.0	4.49507912404864
25	23400	0.0	3.097631417567295
26	24300	0.0	0.9243581797997242
27	25200	-0.1452035922366539	0.0
28	26100	-5.255478328915428	0.0
29	27000	-6.818466639643524	0.0
30	27900	-8.513430901468098	0.0
31	28800	-9.70890468901337	0.0
32	29700	0.0	12.07775078801519
33	30600	0.0	12.796385872102553
34	31500	0.0	12.358626196835708
35	32400	0.0	15.807153995945397
36	33300	0.0	19.768364145894555
37	34200	0.0	19.7978675506212
38	35100	0.0	19.926035670454972
39	36000	0.0	19.27133391288969
40	36900	0.0	19.571193767870533
41	37800	0.0	19.282424704732577
42	38700	0.0	16.64737948869953
43	39600	0.0	15.665992000428488
44	40500	0.0	13.368016133893418
45	41400	0.0	10.66103723812041
46	42300	0.0	8.438087032561844
47	43200	0.0	6.7145550633422655
48	44100	0.0	6.13404681917863
49	45000	0.0	4.529628601542589
50	45900	0.0	2.2937624308750877
51	46800	0.0	0.5786685440545689
52	47700	-0.5768708037349768	0.0
53	48600	-1.7734768455587204	0.0
54	49500	-2.9300530151820823	0.0
55	50400	-4.046999682172727	0.0
56	51300	-4.945530495044041	0.0
57	52200	-5.817439536578918	0.0
58	53100	-6.491201230919055	0.0
59	54000	-7.15542104901351	0.0
60	54900	-8.227514831694304	0.0
61	55800	-9.415423769130904	0.0
62	56700	-10.716742513433616	0.0
63	57600	-12.059035184271782	0.0
64	58500	-13.061291794984795	0.0
65	59400	-14.14229057242607	0.0
66	60300	-15.223625651622605	0.0
67	61200	-16.242052724924193	0.0
68	62100	-16.791468733792293	0.0
69	63000	-17.31720375660996	0.0
70	63900	-17.484334200123328	0.0
71	64800	-17.521935260134356	0.0
72	65700	-17.850457858079405	0.0
73	66600	-18.13660817359046	0.0
74	67500	-18.10094833318761	0.0
75	68400	-17.92021484872953	0.0
76	69300	-16.246588140291276	0.0
77	70200	-14.371834494208068	0.0
