	time	cooling	heating
0	900	-1.5775413012321042	0.0
1	1800	-1.1747546818970545	0.0
2	2700	-0.7779237514566901	0.0
3	3600	-0.3871146406541577	0.0
4	4500	-0.17407758848870358	0.0
5	5400	0.0	0.2217721647219566
6	6300	0.0	0.6193274769413364
7	7200	0.0	1.0182347019665272
8	8100	0.0	1.1334476233537814
9	9000	0.0	1.2282358154545783
10	9900	0.0	1.3157084483867454
11	10800	0.0	1.392510083656708
12	11700	0.0	3.543526182632407
13	12600	0.0	3.610970321376186
14	13500	0.0	3.651668303431805
15	14400	0.0	3.6704114936537753
16	15300	0.0	3.9670268213106894
17	16200	0.0	4.2850101493291195
18	17100	0.0	4.628891031672966
19	18000	0.0	4.998111626969036
20	18900	0.0	5.09257633399822
21	19800	0.0	5.182561034494626
22	20700	0.0	5.267616730655542
23	21600	0.0	5.3479716611383505
24	22500	0.0	5.958420293219003
25	23400	0.0	6.598140598732789
26	24300	0.0	7.265282450881966
27	25200	0.0	7.925849329847553
28	26100	0.0	8.178929429254831
29	27000	0.0	8.42403363218377
30	27900	0.0	8.660133876638545
31	28800	0.0	8.855335049914038
32	29700	0.0	0.32187662976702436
33	30600	-0.3745430983069764	0.0
34	31500	-1.3845301001178045	0.0
35	32400	-1.9706480054379885	0.0
36	33300	0.0	0.295429456317688
37	34200	0.0	13.09078507633691
38	35100	0.0	9.075774112364652
39	36000	0.0	8.235925965243498
40	36900	0.0	7.789330820040988
41	37800	0.0	8.543592095426378
42	38700	0.0	9.265950534789726
43	39600	0.0	9.944693262756411
44	40500	0.0	2.275807959673182
45	41400	-2.069135601710318	0.0
46	42300	-5.935681866248916	0.0
47	43200	-9.233128247753339	0.0
48	44100	-9.960767176485675	0.0
49	45000	-10.692161031926446	0.0
50	45900	-11.43127730965593	0.0
51	46800	-13.501111971251985	0.0
52	47700	-14.57582487141624	0.0
53	48600	-19.346001221500643	0.0
54	49500	-24.853787077229274	0.0
55	50400	-28.122632047253376	0.0
56	51300	-30.045855302276948	0.0
57	52200	-31.101375000245724	0.0
58	53100	-31.901984609509267	0.0
59	54000	-31.483802092167657	0.0
60	54900	-30.942915070267446	0.0
61	55800	-30.610611893686016	0.0
62	56700	-29.906665166582794	0.0
63	57600	-28.873163537085276	0.0
64	58500	-25.956148118829322	0.0
65	59400	-23.513240132694488	0.0
66	60300	-22.123419684173793	0.0
67	61200	-21.37919993834889	0.0
68	62100	-20.096080698492962	0.0
69	63000	-18.898080565201344	0.0
70	63900	-17.658508359524955	0.0
71	64800	-17.187956841569278	0.0
72	65700	-16.861880084474297	0.0
73	66600	-16.760157217784638	0.0
74	67500	-15.949900984656235	0.0
75	68400	-15.127732156816878	0.0
76	69300	-14.5369865296435	0.0
77	70200	-14.094938594298451	0.0
78	71100	-13.732117008194477	0.0
79	72000	-13.348017439865064	0.0
80	72900	-13.158116146499394	0.0
81	73800	-13.047570222396937	0.0
82	74700	-12.67858048168554	0.0
83	75600	-11.551973640222714	0.0
84	76500	-6.342882597328108	0.0
85	77400	-4.274394563727315	0.0
86	78300	-2.9205573410963908	0.0
87	79200	-1.6897621844158461	0.0
88	80100	-2.801175783743137	0.0
89	81000	-2.415854008673737	0.0
90	81900	-2.16255762805622	0.0
91	82800	-1.9742331789833383	0.0
92	83700	-1.8101288817673158	0.0
93	84600	-1.650414500767992	0.0
94	85500	-1.4965957890628925	0.0
95	86400	-1.3555585892321407	0.0
96	87300	-0.07266817770314482	0.0
97	88200	0.0	1.215145448282728
98	89100	0.0	2.4975555491969335
99	90000	0.0	3.782142335921497
100	90900	0.0	4.587958251488361
101	91800	0.0	5.53965013060262
102	92700	0.0	6.472556706474263
103	93600	0.0	7.401782941248035
104	94500	0.0	6.423173021961702
105	95400	0.0	5.439528192205163
106	96300	0.0	4.4506434006709785
107	97200	0.0	3.4572906668009704
108	98100	0.0	3.533468193701548
109	99000	0.0	3.6078245801763913
110	99900	0.0	3.680033260236783
111	100800	0.0	3.7494516967716027
112	101700	0.0	4.122267763735625
113	102600	0.0	4.489220288049353
114	103500	0.0	4.848118354311515
115	104400	0.0	5.205718257355533
116	105300	0.0	5.798592317758283
117	106200	0.0	6.410930330922058
118	107100	0.0	7.060017866454517
119	108000	0.0	7.743392123648562
120	108900	0.0	7.8670729253614375
121	109800	0.0	7.972410191464116
122	110700	0.0	8.031699060893144
123	111600	0.0	8.056666685142815
124	112500	0.0	8.316483695027976
125	113400	0.0	8.586749005245627
126	114300	0.0	8.87392224676174
127	115200	0.0	9.151295283534102
128	116100	0.0	0.33850240345266647
129	117000	-0.4816299070776029	0.0
130	117900	-1.629406314274266	0.0
131	118800	-2.33462964657054	0.0
132	119700	-0.035650906648020175	0.0
133	120600	0.0	11.2856831144619
134	121500	0.0	8.227644733956177
135	122400	0.0	7.95273329583363
136	123300	0.0	5.191639061334854
137	124200	0.0	3.336748512352152
138	125100	0.0	1.3645027079417602
139	126000	-0.6764296000695591	0.0
140	126900	-6.349684133946295	0.0
141	127800	-8.095887590693003	0.0
142	128700	-9.501248752532163	0.0
143	129600	-10.104368924215235	0.0
144	130500	-11.084152299891713	0.0
145	131400	-12.002424503801693	0.0
146	132300	-12.725325052414988	0.0
147	133200	-14.320216969055124	0.0
148	134100	-15.597909274569998	0.0
149	135000	-20.857006465594758	0.0
150	135900	-25.84914737928568	0.0
151	136800	-29.003665735854874	0.0
152	137700	-31.671829105615572	0.0
153	138600	-33.137860445574766	0.0
154	139500	-33.64856752796059	0.0
155	140400	-33.614938362115424	0.0
156	141300	-32.87661331130361	0.0
157	142200	-32.31061402844196	0.0
158	143100	-31.763636182347962	0.0
159	144000	-30.634370336670102	0.0
160	144900	-27.48215023374391	0.0
161	145800	-24.19451445274321	0.0
162	146700	-21.310699851331254	0.0
163	147600	-19.60978466875817	0.0
164	148500	-18.28937035577272	0.0
165	149400	-17.042180142443712	0.0
166	150300	-16.084753999732076	0.0
167	151200	-15.732768918056607	0.0
168	152100	-15.21604828770801	0.0
169	153000	-14.8947906331256	0.0
170	153900	-13.992271258476066	0.0
171	154800	-13.547738956051127	0.0
172	155700	-13.376891750910382	0.0
173	156600	-13.223577325834839	0.0
174	157500	-13.071638499083546	0.0
175	158400	-12.864963030318275	0.0
176	159300	-12.808435898511581	0.0
177	160200	-12.772847994780456	0.0
178	161100	-12.487449513958614	0.0
179	162000	-11.929494663281854	0.0
180	162900	-7.133522537824938	0.0
181	163800	-5.527609817418993	0.0
182	164700	-4.477516808389846	0.0
183	165600	-3.643128046306881	0.0
184	166500	-4.874315504521148	0.0
185	167400	-4.766684384325739	0.0
186	168300	-4.834490724283654	0.0
187	169200	-4.9505670429344715	0.0
188	170100	-5.384640112413205	0.0
189	171000	-5.837625832328465	0.0
190	171900	-6.30382319826015	0.0
191	172800	-6.793174393617687	0.0
192	173700	-5.6394294203882325	0.0
193	174600	-4.459459651238694	0.0
194	175500	-3.26056428751062	0.0
195	176400	-2.04547263121745	0.0
196	177300	-2.0622745443872663	0.0
197	178200	-1.901634009424086	0.0
198	179100	-1.752241293894361	0.0
199	180000	-1.6139181079898233	0.0
200	180900	-1.228829754140742	0.0
201	181800	-0.8531939844160785	0.0
202	182700	-0.48445067219074467	0.0
203	183600	-0.12284878192709314	0.0
204	184500	-0.026531099772853395	0.0
205	185400	0.0	0.05552537288446047
206	186300	0.0	0.10906732549110032
207	187200	0.0	0.14011168328814172
208	188100	0.0	0.16259229533475406
209	189000	0.0	0.20118479989113602
210	189900	0.0	0.26208598068769184
211	190800	0.0	0.3399878040219768
212	191700	0.0	1.0208286892509495
213	192600	0.0	1.7064148519973177
214	193500	0.0	2.3959062232582546
215	194400	0.0	3.086883827068739
216	195300	0.0	3.186378546794442
217	196200	0.0	3.277741331593969
218	197100	0.0	3.3554634242197885
219	198000	0.0	3.425958450707597
220	198900	0.0	3.1837588507921026
221	199800	0.0	2.93258151322787
222	200700	0.0	2.6707861002916005
223	201600	0.0	2.390299655832246
224	202500	-0.45320813690534184	0.0
225	203400	-1.8052785466365577	0.0
