	time	cooling	heating
0	900	0.0	1.9344985076439107
1	1800	0.0	2.3258681528532077
2	2700	0.0	2.6922532584368457
3	3600	0.0	3.0045465316803863
4	4500	0.0	3.1552416330416237
5	5400	0.0	3.272304947882678
6	6300	0.0	3.408513130202971
7	7200	0.0	3.5531542065350803
8	8100	0.0	3.732092004550637
9	9000	0.0	3.887448262013742
10	9900	0.0	4.036376193881573
11	10800	0.0	4.181090621266766
12	11700	0.0	4.379079632455432
13	12600	0.0	4.4999970534614695
14	13500	0.0	4.619472822367607
15	14400	0.0	4.729042320144751
16	15300	0.0	4.8535397184006985
17	16200	0.0	4.983002810648668
18	17100	0.0	5.126905880986733
19	18000	0.0	5.274608998257185
20	18900	0.0	5.371359449203919
21	19800	0.0	5.486688400425221
22	20700	0.0	5.567742978453717
23	21600	0.0	5.642853686195055
24	22500	0.0	5.841999402093468
25	23400	0.0	6.022170563985421
26	24300	0.0	6.184329642705131
27	25200	0.0	6.360921407496698
28	26100	0.0	6.435506754469824
29	27000	0.0	6.46395665922161
30	27900	0.0	6.465491989251089
31	28800	0.0	6.4667684542991095
32	29700	0.0	6.42191554127107
33	30600	0.0	6.333322220176147
34	31500	0.0	6.211400793538041
35	32400	0.0	6.012310534248861
36	33300	0.0	5.5497148935291305
37	34200	0.0	4.960203891079703
38	35100	0.0	4.293391624177792
39	36000	0.0	3.6239903990090276
40	36900	0.0	3.575877069554765
41	37800	0.0	3.2115284843507217
42	38700	0.0	2.8214638008917854
43	39600	0.0	2.4428140253780697
44	40500	0.0	1.1174695431921684
45	41400	0.0	0.3604708958648375
46	42300	-0.15319270500120596	0.0
47	43200	-0.40859121747615784	0.0
48	44100	-0.49430693056290426	0.0
49	45000	-0.5880008829816736	0.0
50	45900	-0.6787564701828408	0.0
51	46800	-0.7439952446891254	0.0
52	47700	-0.8193400891130804	0.0
53	48600	-0.9073146310273307	0.0
54	49500	-1.0061398233935446	0.0
55	50400	-1.0725237492222828	0.0
56	51300	-1.128111837362651	0.0
57	52200	-1.174296769378213	0.0
58	53100	-1.1941368106102603	0.0
59	54000	-1.2424013585818432	0.0
60	54900	-1.3064157064049042	0.0
61	55800	-1.3921294442445182	0.0
62	56700	-1.4616114762615382	0.0
63	57600	-1.5452795007134257	0.0
64	58500	-1.6114210303297165	0.0
65	59400	-1.6729617493752191	0.0
66	60300	-1.7349731146515008	0.0
67	61200	-1.770039318965229	0.0
68	62100	-1.8063799581371636	0.0
69	63000	-1.8194924739544622	0.0
70	63900	-1.820830165296355	0.0
71	64800	-1.7850887090154206	0.0
72	65700	-1.706754909519578	0.0
73	66600	-1.6166953242481745	0.0
74	67500	-1.4968621681901382	0.0
75	68400	-1.3739919249246966	0.0
76	69300	-1.1726276325519513	0.0
77	70200	-0.9638960220217664	0.0
78	71100	-0.7403967751119633	0.0
79	72000	-0.4715878450642751	0.0
80	72900	-0.3772384996539412	0.0
81	73800	-0.3080305827491601	0.0
82	74700	-0.2040132288090996	0.0
83	75600	-0.11670597193922475	0.0
84	76500	-0.013579842043529244	0.0
85	77400	0.0	0.1048222234988706
86	78300	0.0	0.2318534630027899
87	79200	0.0	0.5693518941468563
88	80100	0.0	0.6981666595238029
89	81000	0.0	0.8621073288235295
90	81900	0.0	1.008284227890658
91	82800	0.0	1.150977669082098
92	83700	0.0	1.337382847569585
93	84600	0.0	1.4590205365289364
94	85500	0.0	1.6040468364331735
95	86400	0.0	1.7423246842758802
96	87300	0.0	2.1874976971368434
97	88200	0.0	2.6976141059144667
98	89100	0.0	3.192051396252004
99	90000	0.0	3.6509640670170307
100	90900	0.0	4.002762016859122
101	91800	0.0	4.365845847866137
102	92700	0.0	4.748137953077401
103	93600	0.0	5.206504530080502
104	94500	0.0	4.946965594556941
105	95400	0.0	4.697746242849931
106	96300	0.0	4.4784080657990835
107	97200	0.0	4.267376539405727
108	98100	0.0	4.335974744015605
109	99000	0.0	4.4173903342463
110	99900	0.0	4.505004433566289
111	100800	0.0	4.586516354521854
112	101700	0.0	4.7869842533958415
113	102600	0.0	4.985649832421342
114	103500	0.0	5.182507369902333
115	104400	0.0	5.383188844491355
116	105300	0.0	5.588392359092821
117	106200	0.0	5.803824369063661
118	107100	0.0	6.014049451159829
119	108000	0.0	6.234392960760092
120	108900	0.0	6.402822006924454
121	109800	0.0	6.560175945029938
122	110700	0.0	6.664925358232582
123	111600	0.0	6.76394999782975
124	112500	0.0	6.807087580341923
125	113400	0.0	6.814332481520964
126	114300	0.0	6.805776462239571
127	115200	0.0	6.833000189598292
128	116100	0.0	6.562035675280564
129	117000	0.0	6.309374697983357
130	117900	0.0	5.9823404258332555
131	118800	0.0	5.665210655370824
132	119700	0.0	5.286363980533879
133	120600	0.0	4.79452676268648
134	121500	0.0	4.202506096718709
135	122400	0.0	3.599045095503081
136	123300	0.0	3.0171952804963746
