	time	cooling	heating
0	900	0.0	39.069786334027675
1	1800	0.0	40.08059774137309
2	2700	0.0	40.917200853832476
3	3600	0.0	41.97612065698967
4	4500	0.0	38.38550859725402
5	5400	0.0	39.3326633220712
6	6300	0.0	40.22451944466499
7	7200	0.0	40.18002227884692
8	8100	0.0	30.935037859629638
9	9000	0.0	29.57829552769762
10	9900	0.0	29.676355386922012
11	10800	0.0	29.94878342431619
12	11700	0.0	47.74157577711339
13	12600	0.0	46.634079671106846
14	13500	0.0	44.91379904036083
15	14400	0.0	43.49418907528718
16	15300	0.0	43.41651055058879
17	16200	0.0	43.46493878380116
18	17100	0.0	43.4070596596484
19	18000	0.0	43.36478827758355
20	18900	0.0	43.42333137317011
21	19800	0.0	43.48209737579615
22	20700	0.0	43.442024076441875
23	21600	0.0	43.42105839557806
24	22500	0.0	43.206962125471634
25	23400	0.0	43.01189258793935
26	24300	0.0	42.66730752596129
27	25200	0.0	42.14899782381396
28	26100	0.0	41.738375421001535
29	27000	0.0	41.174660046268
30	27900	0.0	40.49661081192047
31	28800	0.0	39.696471082377776
32	29700	0.0	38.5491633453853
33	30600	0.0	37.43541361049204
34	31500	0.0	36.250497267484505
35	32400	0.0	35.160561933078824
36	33300	0.0	39.27874228726246
37	34200	0.0	38.599876346800286
38	35100	0.0	37.59189806502266
39	36000	0.0	36.62671256826965
40	36900	0.0	35.3289455317496
41	37800	0.0	40.871925578174846
42	38700	0.0	38.64514317148798
43	39600	0.0	36.34391668784366
44	40500	0.0	33.266273002528266
45	41400	0.0	29.48369113500161
46	42300	0.0	26.352528090936794
47	43200	0.0	23.042262608399156
48	44100	0.0	37.375808304764696
49	45000	0.0	35.00565896992252
50	45900	0.0	31.856197768255583
51	46800	0.0	29.478112106949578
52	47700	0.0	27.67774352787079
53	48600	0.0	26.00771249705024
54	49500	0.0	24.13385267684262
55	50400	0.0	22.089601480801903
56	51300	0.0	20.6780133197268
57	52200	0.0	19.27461144457358
58	53100	0.0	18.342143045930335
59	54000	0.0	18.084373396063068
60	54900	0.0	17.275282604667627
61	55800	0.0	16.32863478267883
62	56700	0.0	15.118094630938185
63	57600	0.0	13.54134192893134
64	58500	0.0	13.533637808640773
65	59400	0.0	13.13131148237672
66	60300	0.0	12.541240374534173
67	61200	0.0	12.039561817752734
68	62100	0.0	10.826857782547332
69	63000	0.0	9.82418069960036
70	63900	0.0	9.071436848057832
71	64800	0.0	8.465737425372883
72	65700	0.0	8.64792698028353
73	66600	0.0	8.614356208283887
74	67500	0.0	8.413688765197254
75	68400	0.0	8.426730551494623
76	69300	0.0	10.12598826455286
77	70200	0.0	12.183149283772188
78	71100	0.0	14.324568508855002
79	72000	0.0	16.960507721745422
80	72900	0.0	19.750413155601837
81	73800	0.0	22.583307603426938
82	74700	0.0	25.710598857144735
83	75600	0.0	28.772012631006447
84	76500	0.0	30.68947653335457
85	77400	0.0	32.56220517561936
86	78300	0.0	34.69769117708724
87	79200	0.0	36.70965781768187
88	80100	0.0	38.790827851275516
89	81000	0.0	40.5866111076989
90	81900	0.0	42.354159846448425
91	82800	0.0	44.00845789507909
92	83700	0.0	46.770470410124126
93	84600	0.0	49.644904379658925
94	85500	0.0	52.53633574178879
95	86400	0.0	47.068595957958465
96	87300	0.0	48.968986050935136
97	88200	0.0	50.62697815314502
98	89100	0.0	52.128489747804274
99	90000	0.0	53.70021441825811
100	90900	0.0	51.1765946143982
101	91800	0.0	52.870883843306395
102	92700	0.0	54.54617552612758
103	93600	0.0	56.315927838144
104	94500	0.0	51.176546248423286
105	95400	0.0	48.89385637820516
106	96300	0.0	48.82603610961345
107	97200	0.0	49.42235499440048
108	98100	0.0	49.7595039592984
109	99000	0.0	50.66441857934204
110	99900	0.0	51.11873312861476
111	100800	0.0	51.82679965279957
112	101700	0.0	52.35675858844762
113	102600	0.0	53.027007710880376
114	103500	0.0	53.55545774389881
115	104400	0.0	54.062424478161596
116	105300	0.0	54.605238436989424
117	106200	0.0	55.03951050321724
118	107100	0.0	55.47009727989767
119	108000	0.0	55.84043280812597
120	108900	0.0	56.1547527186498
121	109800	0.0	56.408747942837394
122	110700	0.0	56.62883237906233
123	111600	0.0	56.565649521372244
124	112500	0.0	56.62094138622871
125	113400	0.0	56.54747484497021
126	114300	0.0	56.39156682785305
127	115200	0.0	56.04969122722739
128	116100	0.0	55.337521476898075
129	117000	0.0	54.738364726226635
130	117900	0.0	53.88476557177151
131	118800	0.0	53.08829026247605
132	119700	0.0	57.81158284351909
133	120600	0.0	57.44097983923232
134	121500	0.0	56.42343633756563
135	122400	0.0	55.75872251828865
136	123300	0.0	55.18285816145595
137	124200	0.0	64.4356058733682
138	125100	0.0	62.83412393983218
139	126000	0.0	61.14591932650396
140	126900	0.0	56.32021327910694
141	127800	0.0	51.593843556814875
142	128700	0.0	46.727933558027644
143	129600	0.0	41.52165531995732
144	130500	0.0	55.3127295346967
145	131400	0.0	51.79135993589083
146	132300	0.0	47.972738559214335
147	133200	0.0	44.95613247446049
148	134100	0.0	41.961630909586184
149	135000	0.0	39.5415164588681
150	135900	0.0	36.90725583494065
151	136800	0.0	34.014542564928064
152	137700	0.0	31.155222070901107
153	138600	0.0	28.238514159019914
154	139500	0.0	25.90735861274743
155	140400	0.0	24.10640384906668
156	141300	0.0	24.30279621065336
157	142200	0.0	24.433595556816634
158	143100	0.0	24.548803486868565
159	144000	0.0	24.73740905145928
160	144900	0.0	24.946641016800513
161	145800	0.0	24.92130072297074
162	146700	0.0	24.618236912585896
163	147600	0.0	24.305932379505197
164	148500	0.0	23.605406115212315
165	149400	0.0	23.143932960212112
166	150300	0.0	22.674597306919985
167	151200	0.0	22.169990842279027
168	152100	0.0	22.880150995634082
169	153000	0.0	23.41124597278819
170	153900	0.0	23.795029841754072
171	154800	0.0	24.30613443699438
172	155700	0.0	24.74024742785734
173	156600	0.0	25.455467568206274
174	157500	0.0	26.394481766530863
175	158400	0.0	27.552477568770538
176	159300	0.0	28.91805016935593
177	160200	0.0	30.5488912512379
178	161100	0.0	32.7470129665225
179	162000	0.0	34.81321413142408
180	162900	0.0	38.117598904049075
181	163800	0.0	41.3822706357561
182	164700	0.0	44.792475204641285
183	165600	0.0	48.257554456774606
184	166500	0.0	50.349389457488265
185	167400	0.0	52.19397516496651
186	168300	0.0	54.0667095254095
187	169200	0.0	55.697045454122275
188	170100	0.0	57.64499063522777
189	171000	0.0	59.45648317214679
190	171900	0.0	61.54833891122701
191	172800	0.0	54.3443276635504
192	173700	0.0	56.14029331779207
193	174600	0.0	57.81010255035852
194	175500	0.0	59.335245463945
195	176400	0.0	61.02406289159464
196	177300	0.0	58.45345982322845
197	178200	0.0	60.2091353617021
198	179100	0.0	62.06584798538897
199	180000	0.0	64.12162373571567
200	180900	0.0	60.74741861028751
201	181800	0.0	57.90952580879982
202	182700	0.0	56.99030808667262
203	183600	0.0	57.30705621768368
204	184500	0.0	57.72429051094301
205	185400	0.0	58.34134421248909
206	186300	0.0	58.93710484228946
207	187200	0.0	59.61693219579449
208	188100	0.0	60.0386480989594
209	189000	0.0	60.532913374951384
210	189900	0.0	60.92389510103195
211	190800	0.0	61.316371476308525
212	191700	0.0	61.796512321611516
213	192600	0.0	62.28568863990782
214	193500	0.0	62.66881064342659
215	194400	0.0	63.05192771770689
216	195300	0.0	63.26987250964328
217	196200	0.0	63.50568973261634
218	197100	0.0	63.66390621860659
219	198000	0.0	63.596705695723166
220	198900	0.0	63.60858495920385
221	199800	0.0	63.51525602902243
222	200700	0.0	63.23806058529516
223	201600	0.0	62.956592262345985
224	202500	0.0	62.1625406331221
225	203400	0.0	61.52147611422696
226	204300	0.0	60.639478746778444
227	205200	0.0	59.88727944047143
228	206100	0.0	64.63028895068712
229	207000	0.0	64.21474325332122
230	207900	0.0	63.23618997237197
231	208800	0.0	62.4758714908776
232	209700	0.0	61.858063868599416
233	210600	0.0	71.81916308987445
234	211500	0.0	70.42652864133352
235	212400	0.0	68.94479254506432
236	213300	0.0	64.4313759895217
237	214200	0.0	59.53091862218939
238	215100	0.0	54.41861280751692
239	216000	0.0	49.088706220401484
240	216900	0.0	61.376781591637254
241	217800	0.0	56.009896609319206
242	218700	0.0	50.444521029999905
243	219600	0.0	45.83664097788901
244	220500	0.0	42.075083303343774
245	221400	0.0	38.75507697054066
246	222300	0.0	35.35954614065384
247	223200	0.0	31.689593292080687
248	224100	0.0	29.47609306472879
249	225000	0.0	27.13587368981853
250	225900	0.0	25.626761698609577
251	226800	0.0	24.708435363849325
252	227700	0.0	24.70475360025844
253	228600	0.0	24.645109179360347
254	229500	0.0	24.35080117937221
255	230400	0.0	23.99197648207804
256	231300	0.0	23.417475821049752
257	232200	0.0	22.459795205067017
