Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,0.0,2.579197114386924,0.0
 01/01  02:00:00,0.0,2.6604397362512,0.6190507809550695
 01/01  03:00:00,0.0,2.745893931448825,1.1573881627757676
 01/01  04:00:00,0.0,2.800323610710954,0.21873529824673663
 01/01  05:00:00,0.0,2.764858058779345,1.5586444020584973
 01/01  06:00:00,0.0,2.5528873584022787,2.4344558509282375
 01/01  07:00:00,0.0,2.411789427687036,5.768625273235739
 01/01  08:00:00,0.0,2.353688295159648,7.016811502887685
 01/01  09:00:00,0.0,2.790264870370343,6.991305348187808
 01/01  10:00:00,0.0,2.0282756482530706,5.065891026217987
 01/01  11:00:00,0.0,1.4147934094570034,6.233934563704479
 01/01  12:00:00,0.0,1.0952550323704955,4.0055038716687354
 01/01  13:00:00,0.0,0.7702759534796366,3.4641298075360134
 01/01  14:00:00,0.0,0.8276357173620464,4.279754914624113
 01/01  15:00:00,0.0,1.459307862807874,2.777742261623941
 01/01  16:00:00,0.0,1.669270367950208,3.9709573078263123
 01/01  17:00:00,0.0,1.664660166489417,3.1296797170880435
 01/01  18:00:00,0.0,1.5150901354414417,6.2217110758374465
 01/01  19:00:00,0.0,1.398752312313601,5.740545197676802
 01/01  20:00:00,0.0,1.0885942854614987,5.058769623726606
 01/01  21:00:00,0.0,0.9727491393555613,6.229710088126831
 01/01  22:00:00,0.0,1.3211852049944657,4.332365361905029
 01/01  23:00:00,0.0,2.045261605097285,3.1253037416342875
 01/01  24:00:00,0.0,2.3501100620719666,2.437746462464304
 01/02  01:00:00,0.0,2.674705478963278,1.7822050444901316
 01/02  02:00:00,0.0,2.7747734374085886,0.0
 01/02  03:00:00,0.0,2.8426733632063437,1.774831138850382
 01/02  04:00:00,0.0,2.852442640373602,0.0
 01/02  05:00:00,0.0,2.797415451606819,0.3095659649266245
 01/02  06:00:00,0.0,2.6904135610507103,2.1185247790141153
 01/02  07:00:00,0.0,2.4517428222424558,6.98180220805355
 01/02  08:00:00,0.0,2.166589013339399,7.010661829599458
 01/02  09:00:00,0.0,2.0040626279355678,6.991709566303045
 01/02  10:00:00,0.0,1.1372994316346394,5.456478829342826
 01/02  11:00:00,0.0,0.8212863247760925,5.149530796578126
 01/02  12:00:00,0.0,0.31855140146745664,4.491259786862916
 01/02  13:00:00,0.0,0.14133169298619677,4.30949891056138
 01/02  14:00:00,0.0,0.18943696746779343,4.130119499815903
 01/02  15:00:00,0.0,0.367363794612774,2.619061779233562
 01/02  16:00:00,0.0,0.5954003192229664,3.0990440301441438
 01/02  17:00:00,0.0,0.49201223121944015,4.327588304579263
 01/02  18:00:00,0.0,0.40875031605700096,4.925581078888337
 01/02  19:00:00,0.0,0.6803622393832288,6.377736910501599
 01/02  20:00:00,0.0,0.7328880151993531,5.390998303985455
 01/02  21:00:00,0.0,0.7999476780089843,5.953516851789583
 01/02  22:00:00,0.0,0.8356837735331667,3.744153254906261
 01/02  23:00:00,0.0,1.3589895799043599,4.309470043264514
 01/02  24:00:00,0.0,1.812913178050167,2.1587667246526654
 01/03  01:00:00,0.0,2.298642953513373,1.7453145929597642
 01/03  02:00:00,0.0,2.559190388668206,0.3095051335139835
 01/03  03:00:00,0.0,2.774973983101599,0.15437437831472212
 01/03  04:00:00,0.0,2.940917490564868,1.3117564639176733
 01/03  05:00:00,0.0,3.0616420126300965,0.3095077647033614
 01/03  06:00:00,0.0,3.1154494855414696,2.4344915306973904
 01/03  07:00:00,0.0,3.041736960921367,6.8135919215493415
 01/03  08:00:00,0.0,3.2575744112847067,7.180548677196002
 01/03  09:00:00,0.0,3.518176645807441,6.886603671517657
 01/03  10:00:00,0.0,3.0181782561643056,5.226063281487085
 01/03  11:00:00,0.0,2.4723089551552357,5.147268636382838
 01/03  12:00:00,0.0,2.115012294513714,4.495500091731336
 01/03  13:00:00,0.0,2.3091749805377355,4.309867767802233
 01/03  14:00:00,0.0,2.386801922380839,2.9506097890232885
 01/03  15:00:00,0.0,2.352668218315637,3.8048942197254445
 01/03  16:00:00,0.0,2.41168111442177,3.1024691947007543
 01/03  17:00:00,0.0,2.060425749371616,4.3154362024890816
 01/03  18:00:00,0.0,1.7277956224855533,5.026838935310547
 01/03  19:00:00,0.0,1.9625665493293507,6.506031775754294
 01/03  20:00:00,0.0,1.7613545001554927,5.269550693334202
 01/03  21:00:00,0.0,1.6566303648724272,5.056988787966704
 01/03  22:00:00,0.0,1.727577000198666,4.529965701153991
 01/03  23:00:00,0.0,2.435602643765884,4.309818684422713
 01/03  24:00:00,0.0,2.7800536844443666,2.4378452285887
 01/04  01:00:00,0.0,3.1996652931918055,1.4715682190223398
 01/04  02:00:00,0.0,3.3757858995529513,0.3095703146683499
 01/04  03:00:00,0.0,3.506931426191396,0.3087023395463187
 01/04  04:00:00,0.0,3.575247016823475,1.4661493930583478
 01/04  05:00:00,0.0,3.5610569032691872,0.15476669983741018
 01/04  06:00:00,0.0,3.50106030983825,2.276628736224283
 01/04  07:00:00,0.0,3.3358582321609536,6.9823769431179805
 01/04  08:00:00,0.0,3.0221033932298735,7.011711579452515
 01/04  09:00:00,0.0,2.7834439392866948,5.784246544945606
 01/04  10:00:00,0.0,2.1991840735043686,6.434165362245491
 01/04  11:00:00,0.0,2.2385764185810326,5.04053778368543
 01/04  12:00:00,0.0,2.052220012113625,4.818908956333845
 01/04  13:00:00,0.0,1.6891877346219033,4.3097772035646456
 01/04  14:00:00,0.0,2.0475316450912735,2.631103666672669
 01/04  15:00:00,0.0,1.9591095628561856,4.114043246581767
 01/04  16:00:00,0.0,1.2987561471312092,2.8160465203785283
 01/04  17:00:00,0.0,0.8640182912352029,4.4510549701821365
 01/04  18:00:00,0.0,0.6720104498706374,4.901509167043581
 01/04  19:00:00,0.0,0.759216267524926,6.569435263475945
 01/04  20:00:00,0.0,0.856418581016314,5.225074755119028
 01/04  21:00:00,0.0,0.669934693950944,5.033918628082517
 01/04  22:00:00,0.0,0.8019140800140551,4.752497155288722
 01/04  23:00:00,0.0,1.610113440230174,4.243670843244318
 01/04  24:00:00,0.0,2.15244715310831,2.094566321796966
 01/05  01:00:00,0.0,2.761442107990055,0.4659586061151753
 01/05  02:00:00,0.0,3.1489432213557125,1.7780183105438667
 01/05  03:00:00,0.0,3.523994557663099,0.0
 01/05  04:00:00,0.0,3.919496632123963,1.3117563596637394
 01/05  05:00:00,0.0,4.2632307732077415,0.4643446281170827
 01/05  06:00:00,0.0,4.545529851607281,2.4346425415396875
 01/05  07:00:00,0.0,4.753189710524216,6.814420488526234
 01/05  08:00:00,0.0,4.418349821503046,7.140888212990324
 01/05  09:00:00,0.0,3.7409166529426194,5.796504570573558
 01/05  10:00:00,0.0,3.2725352869886843,6.295493798675967
 01/05  11:00:00,0.0,1.7355058741649416,5.037694660784626
 01/05  12:00:00,0.0,0.6942611467235931,4.658612585483544
 01/05  13:00:00,0.0,0.5817722518932673,4.309797734051609
 01/05  14:00:00,0.0,0.4387236510701968,2.789795183571142
 01/05  15:00:00,0.0,0.32151375884092526,3.0707252756797687
 01/05  16:00:00,0.0,0.20591872330731664,3.677180747975414
 01/05  17:00:00,0.0,0.11103209461302647,4.315369161405033
 01/05  18:00:00,0.0,0.20563739569242,5.026695939432158
 01/05  19:00:00,0.0,0.3812064555199854,5.741228557271348
 01/05  20:00:00,0.0,0.5738057286943483,6.258897287666613
 01/05  21:00:00,0.0,0.9479356224874866,5.033887698605838
 01/05  22:00:00,0.0,1.5682595410406375,4.454664298143652
 01/05  23:00:00,0.0,2.70173347455703,4.21197617544796
 01/05  24:00:00,0.0,3.280628224027837,2.4152078337668286
 01/06  01:00:00,0.0,4.003752747687631,0.6212543196701907
 01/06  02:00:00,0.0,4.445453155950271,1.4684690354419838
 01/06  03:00:00,0.0,4.767977154013561,0.3087176026917425
 01/06  04:00:00,0.0,5.033424626714033,0.0
 01/06  05:00:00,0.0,5.1791236853816285,1.7780354453484846
 01/06  06:00:00,0.0,5.281267402372763,1.9606916195460935
 01/06  07:00:00,0.0,5.328682311058666,6.817858084940629
 01/06  08:00:00,0.0,5.802954329520833,5.967963250945738
 01/06  09:00:00,0.0,4.673314335216044,6.991652678705931
 01/06  10:00:00,0.0,2.2028107612556433,6.768126866815158
 01/06  11:00:00,0.0627863046466473,0.9652429386584301,5.037468752475806
 01/06  12:00:00,0.3429489125417228,0.3535216134870899,4.332487040557937
 01/06  13:00:00,0.627889251672425,0.03446566961804118,3.183403646222135
 01/06  14:00:00,0.07055441601420073,0.011525151132452125,4.234115673807419
 01/06  15:00:00,0.0,0.0,2.4576866096936234
 01/06  16:00:00,0.0,0.0,4.2923842169657
 01/06  17:00:00,0.44537102036273624,0.10495346618097307,4.314924945188605
 01/06  18:00:00,0.39453101298057586,0.011866489081902968,5.026417359027035
 01/06  19:00:00,0.34878142472219437,0.005458230021890199,5.240073683340933
 01/06  20:00:00,0.30236345485375854,0.08817327706692221,6.590926104907019
 01/06  21:00:00,0.2328899768425672,0.3304421032461799,5.03361785563207
 01/06  22:00:00,0.15697318018703488,0.6796112807299443,4.4954451194441045
 01/06  23:00:00,0.025793318138633798,1.2892226408750065,3.8360238649433835
 01/06  24:00:00,0.0,1.7763051434320878,2.546512936400045
 01/07  01:00:00,0.0,2.4512710639765904,0.6671927102795405
 01/07  02:00:00,0.0,2.9690268242790783,1.0048543382902029
 01/07  03:00:00,0.0,3.4145168479114374,0.6173280194980683
 01/07  04:00:00,0.0,3.801366895939047,0.3087135264055129
 01/07  05:00:00,0.0,4.0505782625363365,1.4684475695160153
 01/07  06:00:00,0.0,4.206139877121122,2.2765516668633943
 01/07  07:00:00,0.0,4.2959135393694,5.931631179457137
 01/07  08:00:00,0.0,3.8621395638533156,6.855971837825514
 01/07  09:00:00,0.0,3.401275204473302,6.992481110708756
 01/07  10:00:00,0.0,2.774972183506413,5.842797849694212
 01/07  11:00:00,0.0,2.856321093547009,5.692625524742712
 01/07  12:00:00,0.0,2.4382304937832178,4.427159563935124
 01/07  13:00:00,0.0,2.1711605735259853,3.29219709615054
 01/07  14:00:00,0.0,1.8226156569836656,4.122285109780084
 01/07  15:00:00,0.0,1.0567431700581076,2.627638437287795
 01/07  16:00:00,0.0,0.7309890929852276,4.131873815077825
 01/07  17:00:00,0.0,0.9293904966454348,3.832732488768823
 01/07  18:00:00,0.0024513871929206345,1.2082079287169865,5.5136614127015315
 01/07  19:00:00,0.04130381798252896,1.084981239849653,5.477601884415065
 01/07  20:00:00,0.06816539327892099,0.902407591445779,6.1086557043141445
 01/07  21:00:00,0.02581267856429947,1.3512674015574577,5.280118088101456
 01/07  22:00:00,0.0,1.7702509706184082,4.658695988746674
 01/07  23:00:00,0.0,2.6187974617889958,3.4412729130245614
 01/07  24:00:00,0.0,3.0256322980639667,2.6701726858184136
 01/08  01:00:00,0.0,3.5910152336343124,0.9303252436131161
 01/08  02:00:00,0.0,3.8795080113934826,0.9276282297450618
 01/08  03:00:00,0.0,4.0923470559371085,0.8488217646006218
 01/08  04:00:00,0.0,4.2879259329129855,0.15435849071782592
 01/08  05:00:00,0.0,4.365456223592255,1.0831573500662144
 01/08  06:00:00,0.0,4.326619173849709,2.5097224999946635
 01/08  07:00:00,0.0,4.2254758428362384,5.772581134609872
 01/08  08:00:00,0.0,4.248633338583357,7.177714452789376
 01/08  09:00:00,0.0,3.4889269376238814,6.96796392473604
 01/08  10:00:00,0.0,2.032041639825306,5.389170112281401
 01/08  11:00:00,0.0,1.4773557496693548,6.164228023818993
 01/08  12:00:00,0.0,1.4552473615674382,4.124775465377945
 01/08  13:00:00,0.0,1.3851166836922684,3.599278242472288
 01/08  14:00:00,0.0,1.545839475620942,4.132022317164083
 01/08  15:00:00,0.0,1.5480250452752813,2.617920153732243
 01/08  16:00:00,0.0,1.3325617505826042,4.131995571185432
 01/08  17:00:00,0.0,1.0928329156296592,3.463929414658257
 01/08  18:00:00,0.0,1.024525365289323,5.68976130936414
 01/08  19:00:00,0.01210152307666427,0.9142353332716197,5.604804679245017
 01/08  20:00:00,0.0,1.106924953121102,5.94553439317404
 01/08  21:00:00,0.0,1.1170280478313737,5.512817260754839
 01/08  22:00:00,0.0,0.9779276387831279,4.4682533743305095
 01/08  23:00:00,0.0,1.5861205640538871,3.1529446518442126
 01/08  24:00:00,0.0,1.877592839932226,2.750273392654064
 01/09  01:00:00,0.0,2.2548442395711286,1.317316288604669
 01/09  02:00:00,0.0,2.3863915036360317,0.30949800266658783
 01/09  03:00:00,0.0,2.455420314826822,1.3117477596314062
 01/09  04:00:00,0.0,2.473349458233179,0.1543733791663531
 01/09  05:00:00,0.0,2.4224032496840153,1.1596090926910017
 01/09  06:00:00,0.0,2.2657161055494166,2.1185962569166916
 01/09  07:00:00,0.0,2.051502403806049,6.2586429012089395
 01/09  08:00:00,0.0,2.4438106342450685,7.01206230369528
 01/09  09:00:00,0.0,2.2511872611428267,6.992782913110203
 01/09  10:00:00,0.0,1.4964647844039178,5.4186384316227825
 01/09  11:00:00,0.0,0.9202675895636878,5.893405795628061
 01/09  12:00:00,0.0,0.3970887513876237,4.266494851981248
 01/09  13:00:00,0.0,0.3751695770661654,3.674224733070674
 01/09  14:00:00,0.0884896065957398,0.3206494098578341,4.292673393181329
 01/09  15:00:00,0.12711114631271445,0.19913598292447335,2.5300392048968767
 01/09  16:00:00,0.1609139119184771,0.09729074979690328,3.8064131088224986
 01/09  17:00:00,0.1582834513858371,0.06115824205203806,3.545058507004256
 01/09  18:00:00,0.15556138143819076,0.1320106633486856,5.743967877063006
 01/09  19:00:00,0.08951981395421266,0.3662422353614073,5.721676477429659
 01/09  20:00:00,0.05546339417057713,0.6698481660790743,6.130480300321016
 01/09  21:00:00,0.06900891396651396,0.7450639894734993,5.494287543754277
 01/09  22:00:00,0.05387621347549059,1.059394958284549,4.021214420558933
 01/09  23:00:00,0.0,1.966340661781262,3.599267278159219
 01/09  24:00:00,0.0,2.1322566788832678,2.43778056258011
 01/10  01:00:00,0.0,2.343663179906135,1.4902510439565322
 01/10  02:00:00,0.0,2.266706356234296,0.2908924016808144
 01/10  03:00:00,0.0,2.117126130683117,1.0802338297445193
 01/10  04:00:00,0.0,1.9100594903278665,0.6945363941772111
 01/10  05:00:00,0.0,1.6318059397258204,0.7728190075311546
 01/10  06:00:00,0.0,1.2676146420959487,2.276511660599802
 01/10  07:00:00,0.0,0.8066514330449192,6.338813443902236
 01/10  08:00:00,0.0,2.2663500248384,7.012459446767826
 01/10  09:00:00,0.0,2.844636356319263,6.992772711224706
 01/10  10:00:00,0.0,1.6282905126426033,5.233147598519274
 01/10  11:00:00,0.0,0.8798554910681864,5.712731365217836
 01/10  12:00:00,0.061659848747720715,0.5270882774803126,4.388560940965473
 01/10  13:00:00,0.22461999819398887,0.33541269087340914,4.073699113157224
 01/10  14:00:00,0.41452247909825446,0.23209870618290204,3.3862594308194276
 01/10  15:00:00,0.4384890199249336,0.12057583849094308,3.360496325064663
 01/10  16:00:00,0.4812241915967017,0.07142276735580651,3.498414973592043
 01/10  17:00:00,0.41359684013110387,0.04954116533817581,3.900333042025571
 01/10  18:00:00,0.40951810304810565,0.06641899027698829,5.376042287399394
 01/10  19:00:00,0.3489160939870879,0.11508051454040048,5.954986696884611
