Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,0.0,6.124952153064786,0.0
 01/01  02:00:00,0.0,6.308790539551616,0.619083006538482
 01/01  03:00:00,0.0,6.662306249109557,1.1574900831287673
 01/01  04:00:00,0.0,6.995474487999096,0.3087672658710144
 01/01  05:00:00,0.0,6.929930759171711,1.468610979254593
 01/01  06:00:00,0.0,6.813423023319771,2.434727552444186
 01/01  07:00:00,0.0,6.838760852495122,5.7684344722713945
 01/01  08:00:00,0.0,6.91022289882009,7.0189541760852485
 01/01  09:00:00,0.0,6.369230334121905,6.992212040006915
 01/01  10:00:00,0.0,3.987236152155539,5.130241272251068
 01/01  11:00:00,0.11067313492642777,2.6853397514713504,6.170146795122024
 01/01  12:00:00,0.2934958745890869,1.8457777536843907,4.616086871805778
 01/01  13:00:00,0.45417233950733615,1.2134327123447897,3.1228984449508697
 01/01  14:00:00,0.5352139640880285,0.9739484716418503,4.014466465101982
 01/01  15:00:00,0.48219545604709363,0.8540557730832906,2.7837818042528193
 01/01  16:00:00,0.3955733818991109,0.7104941976307372,3.964281247851396
 01/01  17:00:00,0.29610425470315493,0.7183160297264692,3.275746736458924
 01/01  18:00:00,0.21231732519586932,1.0463950686780343,6.0334970758514395
 01/01  19:00:00,0.19240293751992182,1.2481312115650514,5.691111879108989
 01/01  20:00:00,0.1720788806111929,1.406609786550222,5.719196861215971
 01/01  21:00:00,0.07730471230248304,2.206638415903567,5.660391767351392
 01/01  22:00:00,0.004117562248955014,2.9933975756862283,4.387807525536704
 01/01  23:00:00,0.0,4.510418732961911,3.081208126340034
 01/01  24:00:00,0.0,5.243147569831096,2.471826200330501
 01/02  01:00:00,0.0,5.54527454732532,1.738104715744077
 01/02  02:00:00,0.0,5.781500012401958,0.1622371841144859
 01/02  03:00:00,0.0,6.18796092615078,1.4587490839153734
 01/02  04:00:00,0.0,6.341902552353438,0.1543408498643464
 01/02  05:00:00,0.0,6.078758856590421,0.9279675711756707
 01/02  06:00:00,0.0,6.132221272671104,2.247703073802277
 01/02  07:00:00,0.0,6.04823181025393,6.19846215682215
 01/02  08:00:00,0.0,6.204350174097499,7.1806955200081655
 01/02  09:00:00,0.0,5.732641370019184,6.96569473106625
 01/02  10:00:00,0.0,4.160932762186728,5.425243313498504
 01/02  11:00:00,0.0,2.6551364562436817,5.666364674493603
 01/02  12:00:00,0.0,1.656162691909548,4.096515630789424
 01/02  13:00:00,0.0,1.3877849200471704,4.08468817187766
 01/02  14:00:00,0.0,1.243001054937696,4.021373215951899
 01/02  15:00:00,0.0,1.222869532631923,2.7278254728539806
 01/02  16:00:00,0.0,1.2025229612255004,3.7359487155406645
 01/02  17:00:00,0.0,1.2138585917685403,3.5728682225820276
 01/02  18:00:00,0.0,1.5280536863349523,5.458143556858266
 01/02  19:00:00,0.0,1.9348542185984015,6.128351570891182
 01/02  20:00:00,0.0,1.9298962389898964,5.408059666664204
 01/02  21:00:00,0.0,2.4639813340137136,5.908077911757956
 01/02  22:00:00,0.0,3.144458801934239,4.0840075333280135
 01/02  23:00:00,0.0,3.905033432130975,3.7210328968705184
 01/02  24:00:00,0.0,4.525685010922026,2.392060437502752
 01/03  01:00:00,0.0,5.4492455479242805,1.6269255406571845
 01/03  02:00:00,0.0,5.4429944600315805,0.309518548718367
 01/03  03:00:00,0.0,5.660510710895985,1.1814850138056645
 01/03  04:00:00,0.0,5.522802562845569,0.43904096208292215
 01/03  05:00:00,0.0,5.05438132378271,0.46406277778669724
 01/03  06:00:00,0.0,5.102146491568892,2.1186148529510116
 01/03  07:00:00,0.0,6.1748152077755725,6.821353339595705
 01/03  08:00:00,0.0,7.148716399018836,7.012015898957298
 01/03  09:00:00,0.0,6.287757461458464,6.926228598142357
 01/03  10:00:00,0.0,4.315189999176861,5.5515807421376
 01/03  11:00:00,0.0,2.1869882984045153,5.276429878313712
 01/03  12:00:00,0.0,1.1552192425338164,4.33726683962281
 01/03  13:00:00,0.0,1.0364955710648438,4.309504093463592
 01/03  14:00:00,0.0,1.0364801149223548,3.42310455736818
 01/03  15:00:00,0.0,1.0308212471773956,3.324689694153938
 01/03  16:00:00,0.0,0.8348181483527847,3.1095323166309954
 01/03  17:00:00,0.0,0.6794675386046948,4.155877814904392
 01/03  18:00:00,0.0,0.964895647969815,5.186065604991408
 01/03  19:00:00,0.0,1.3115432904377238,6.282336965974117
 01/03  20:00:00,0.0,1.2608177156000113,5.412170558763747
 01/03  21:00:00,0.0,1.3742798510264993,5.5218863314283535
