Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,1.0767741824529276,0.0,0.0
 01/01  02:00:00,1.046909426694719,0.0,0.6189155363878036
 01/01  03:00:00,0.8791582481182479,0.0,1.1571009338879759
 01/01  04:00:00,0.752149515439199,0.0,0.0
 01/01  05:00:00,0.7239255317713006,0.0,1.4927135973115204
 01/01  06:00:00,0.7072701780026287,0.000557680323489209,2.4875001130584256
 01/01  07:00:00,0.6845088621611185,0.01046715706758095,5.561526851836578
 01/01  08:00:00,0.7886844458315043,0.020870439828392054,7.464796493026449
 01/01  09:00:00,1.1017308769877807,0.013096189509014582,6.79052489599387
 01/01  10:00:00,1.910624571736763,0.0,5.261729467935679
 01/01  11:00:00,3.1182912239292517,0.0,5.463967285507419
 01/01  12:00:00,2.328261056765676,0.0,3.9059490950381823
 01/01  13:00:00,0.0,0.0,4.308394333776686
 01/01  14:00:00,0.0,0.0,3.841343692535359
 01/01  15:00:00,0.0,0.0,2.905682155374173
 01/01  16:00:00,2.974622684830596,0.0,3.420384484493836
 01/01  17:00:00,4.621086396855188,0.0,4.002782655419704
 01/01  18:00:00,3.7864631010916168,0.0,5.025068497513626
 01/01  19:00:00,3.208165147568385,0.0,6.273587237687454
 01/01  20:00:00,3.1970430735101445,0.0,5.721713327268254
 01/01  21:00:00,2.953922873903213,0.0,5.263533645990487
 01/01  22:00:00,2.3234878538434147,0.0,4.101488830956272
 01/01  23:00:00,1.6598688329311715,0.0,4.308352081140964
 01/01  24:00:00,1.3994999339137295,0.0,2.437084589947446
 01/02  01:00:00,1.06784404094923,0.0,0.7748591220960714
 01/02  02:00:00,0.904402922010321,0.0,1.004596893756532
 01/02  03:00:00,0.8002884396744882,0.0,0.0275320813384264
 01/02  04:00:00,0.6893390887903877,0.0050720464668156775,1.361216114488671
 01/02  05:00:00,0.6815943843124521,0.011931986488633878,0.3861681492707274
 01/02  06:00:00,0.7687101384872389,0.009488011822580652,2.433859080185709
 01/02  07:00:00,0.8124573100531483,0.017699917903722058,6.738804376029087
 01/02  08:00:00,0.9353946722266862,0.024285518705373946,6.676536865033705
 01/02  09:00:00,0.9114167666154744,0.020945857600577142,6.517319224945971
 01/02  10:00:00,1.34375475553601,0.0,5.865439348771219
 01/02  11:00:00,1.3771625302956823,0.0,5.275216259233332
 01/02  12:00:00,1.6217181628820334,0.0,4.824744818656027
 01/02  13:00:00,2.1697652246345593,0.0,3.7842413498448058
 01/02  14:00:00,2.083883571562352,0.0,3.1472980196313953
 01/02  15:00:00,2.274589657612943,0.0,3.410984143940932
 01/02  16:00:00,2.0106914464521735,0.0,3.3044534011009334
 01/02  17:00:00,1.940259392992862,0.0,3.9535553969716064
 01/02  18:00:00,2.2229432817053136,0.0,5.179197498929086
 01/02  19:00:00,2.2870961985427036,0.0,6.2530826953053555
 01/02  20:00:00,2.431824080105082,0.0,5.742755497289088
 01/02  21:00:00,2.2567022045917353,0.0,5.102888766872203
 01/02  22:00:00,1.876121898316539,0.0,4.262513652011454
 01/02  23:00:00,1.5679397106983157,0.0,3.715448135935521
 01/02  24:00:00,1.2856148710611401,0.0,2.637750989455013
 01/03  01:00:00,0.9168708376652637,0.0,1.2358462130188215
 01/03  02:00:00,0.77405183548415,0.0,0.3090054176172729
 01/03  03:00:00,0.6797127739337255,0.0,1.2344033354567905
 01/03  04:00:00,0.6191023993251769,0.0,0.32809598789065975
