epsilon,a,b,c,d
1,40.86,26.77,-29.59,-45.75
2,26.58,14.73,58.46,-21.25
3,19.34,2.28,100,0.25
4,13.25,-1.39,124.79,15.66
5,14.47,-5.09,160.09,9.13
6,19.76,-3.88,154.61,-19.21
7,28.39,-9.67,151.58,-69.39
8,42.91,-19.62,130.8,-164.08
